 Annotation Property	GENEPIO:0000001 (metadata section)
 Class	GENEPIO:0000038 (soluble inorganic material concentration)
 Class	GENEPIO:0000039 (nitrite concentration)
 Class	GENEPIO:0000040 (nitrate concentration)
 Class	GENEPIO:0000041 (total phosphorous concentration)
 Class	GENEPIO:0000042 (stream order categorical measurement datum)
 Class	GENEPIO:0000043 (bacteria density)
 Class	GENEPIO:0000044 (primary enzyme (LMAAI))
 Class	GENEPIO:0000045 (PFGE test specification)
 Class	GENEPIO:0000046 (PFGE primary test)
 Class	GENEPIO:0000047 (secondary enzyme (LMACI))
 Class	GENEPIO:0000048 (PFGE secondary test)
 Class	GENEPIO:0000049 (MLST clonal complex)
 Class	GENEPIO:0000050 (MLST sequence typing)
 Class	GENEPIO:0000051 (core genome fingerprinting assay)
 Class	GENEPIO:0000052 (CGF type)
 Class	GENEPIO:0000053 (16S rRNA sequencing)
 Class	GENEPIO:0000054 (Stx toxin type datum)
 Class	GENEPIO:0000055 (Stx toxin subtype datum)
 Class	GENEPIO:0000056 (Stx1 Toxin PCR result)
 Class	GENEPIO:0000057 (Stx1 cell culture level)
 Class	GENEPIO:0000058 (Stx2 Toxin PCR result)
 Class	GENEPIO:0000059 (Stx2 cell culture level)
 Class	GENEPIO:0000060 (AccuProbe culture identification assay)
 Class	GENEPIO:0000061 (AccuProbe Listeria monocytogenes culture identification reagent kit)
 Class	GENEPIO:0000062 (AccuProbe test result)
 Class	GENEPIO:0000063 (ribotyping)
 Class	GENEPIO:0000064 (riboprinting)
 Class	GENEPIO:0000065 (Qualicon (DuPont) RiboPrinter Microbial Characterization System)
 Class	GENEPIO:0000066 (DuPont identification pattern library)
 Class	GENEPIO:0000067 (RiboPrinter DUP Number)
 Class	GENEPIO:0000068 (RiboPrinter DUP similarity)
 Class	GENEPIO:0000069 (sequencing run date)
 Class	GENEPIO:0000070 (sequencing location)
 Class	GENEPIO:0000071 (sequencing platform (brand))
 Class	GENEPIO:0000072 (sequencing workflow)
 Class	GENEPIO:0000073 (sequencing application)
 Class	GENEPIO:0000074 (obsolete: sequencing assay)
 Class	GENEPIO:0000075 (sequencing chemistry)
 Class	GENEPIO:0000076 (read length)
 Class	GENEPIO:0000077 (obsolete: GSCID-BRC data item)
 Class	GENEPIO:0000078 (sequencing run multiplex identifiers)
 Class	GENEPIO:0000079 (sequencing run sample identifier)
 Class	GENEPIO:0000080 (sequencing count of chemistry cycles)
 Class	GENEPIO:0000081 (sequencing kit)
 Class	GENEPIO:0000082 (sequencing kit version)
 Class	GENEPIO:0000083 (adapter sequence)
 Class	GENEPIO:0000084 (read adapter trimming)
 Class	GENEPIO:0000085 (library preparation kit)
 Class	GENEPIO:0000086 (number of expected base pairs per genome)
 Class	GENEPIO:0000087 (number of reads passing filter)
 Class	GENEPIO:0000088 (sequencer flow cell cluster density)
 Class	GENEPIO:0000089 (phred quality score)
 Class	GENEPIO:0000090 (assembly method)
 Class	GENEPIO:0000091 (assembly status)
 Class	GENEPIO:0000092 (read coverage)
 Class	GENEPIO:0000093 (contig count)
 Class	GENEPIO:0000094 (assembly name (identifier))
 Class	GENEPIO:0000095 (genome annotation algorithm)
 Class	GENEPIO:0000096 (genome annotation source)
 Class	GENEPIO:0000097 (obsolete: NCBI BioSample data item)
 Class	GENEPIO:0000099 (obo:GENEPIO:0000099)
 Class	GENEPIO:0000100 (obo:GENEPIO:0000100)
 Class	GENEPIO:0000101 (obo:GENEPIO:0000101)
 Class	GENEPIO:0000102 (IRIDA case ID)
 Class	GENEPIO:0000103 (obsolete: NCBI BioProject data item)
 Class	GENEPIO:0000104 (obsolete: INSDC MDM standard)
 Class	GENEPIO:0000105 (obsolete: MIxS data item)
 Class	GENEPIO:0000106 (draft data standard)
 Class	GENEPIO:0000107 (obsolete: HIPPA PHI data item)
 Class	GENEPIO:0000108 (obsolete: PulseNet data item)
 Class	GENEPIO:0000109 (I2B2 Data Protection role standard)
 Class	GENEPIO:0000110 (subject health status (GSCID-BRC))
 Class	GENEPIO:0000111 (GSCID-BRC Core Sample standard)
 Class	GENEPIO:0000112 (GSCID-BRC Core Project standard)
 Class	GENEPIO:0000113 (specimen category)
 Class	GENEPIO:0000114 (subject age - unit)
 Class	GENEPIO:0000115 (NCBI standard)
 Class	GENEPIO:0000117 (specimen collection location - city or region)
 Class	GENEPIO:0000118 (specimen collection location - country)
 Class	GENEPIO:0000119 (Darwin Core Terms)
 Class	GENEPIO:0000120 (travel history item)
 Class	GENEPIO:0000121 (travel start date)
 Class	GENEPIO:0000122 (travel end date)
 Class	GENEPIO:0000123 (infection aquired during travel)
 Class	GENEPIO:0000124 (draft pathogenic epidemiology case investigation record)
 Class	GENEPIO:0000125 (draft pathogenic epi case exposure record)
 Class	GENEPIO:0000126 (draft pathogenic epi case food record)
 Class	GENEPIO:0000127 (food brought back from travel)
 Class	GENEPIO:0000128 (epidemiology contact network model)
 Class	GENEPIO:0000129 (epi contact network model - human)
 Class	GENEPIO:0000130 (epi contact network model - animal)
 Class	GENEPIO:0000131 (note)
 Class	GENEPIO:0000132 (draft pathogenic epi case general information record)
 Class	GENEPIO:0000133 (draft pathogenic epi case isolate detail record)
 Class	GENEPIO:0000134 (specimen source substance)
 Class	GENEPIO:0000135 (isolate sequence filename)
 Class	GENEPIO:0000136 (cluster identifier)
 Class	GENEPIO:0000137 (draft pathogenic epi case test record)
 Class	GENEPIO:0000138 (contact specification - lab test requester)
 Class	GENEPIO:0000139 (food cultural origin)
 Class	GENEPIO:0000140 (draft pathogenic epi case travel record)
 Class	GENEPIO:0000141 (Region (England) (entry subject to GAZ replacement))
 Class	GENEPIO:0000142 (contact specification - epi network contact)
 Class	GENEPIO:0000143 (public health lab epidemiology contextual data standard)
 Class	GENEPIO:0000144 (draft whole genome sequencing lab test record)
 Class	GENEPIO:0000145 (draft WGS lab bioinformatics process record)
 Class	GENEPIO:0000146 (draft WGS lab sequencing record)
 Class	GENEPIO:0000147 (NCBI SRA meta information standard)
 Class	GENEPIO:0000148 (isolate raw read filename)
 Class	GENEPIO:0000149 (library preparation kit version)
 Class	GENEPIO:0000150 (read trimming and filtering software)
 Class	GENEPIO:0000151 (bioinformatics pipeline name)
 Class	GENEPIO:0000152 (bioinformatics pipeline version)
 Class	GENEPIO:0000153 (bioinformatics pipeline protocol)
 Class	GENEPIO:0000154 (draft WGS lab sequencing quality metrics record)
 Class	GENEPIO:0000155 (draft WGS lab assembly quality metrics record)
 Class	GENEPIO:0000156 (project data type)
 Class	GENEPIO:0000157 (assembly project)
 Class	GENEPIO:0000158 (clone ends project)
 Class	GENEPIO:0000159 (epigenomics project)
 Class	GENEPIO:0000160 (exome resequencing project)
 Class	GENEPIO:0000161 (genome sequencing project)
 Class	GENEPIO:0001000 (draft ReSeq Tuberculosis data platform standard)
 Class	GENEPIO:0001001 (test threshold measurement comparator)
 Class	GENEPIO:0001002 (less than)
 Class	GENEPIO:0001003 (less than or equal to)
 Class	GENEPIO:0001004 (equal to)
 Class	GENEPIO:0001005 (greater than or equal to)
 Class	GENEPIO:0001006 (greater than)
 Class	GENEPIO:0001007 (NCBI Antibiogram standard)
 Class	GENEPIO:0001008 (obsolete: NCBI isolate AMR testing model)
 Class	GENEPIO:0001009 (obsolete: restaurant)
 Class	GENEPIO:0001010 (Canadian Integrated Public Health Information System (iPHIS) Standard)
 Class	GENEPIO:0001011 (MIRU24 - international standard)
 Class	GENEPIO:0001012 (MIRU24 - Canadian standard)
 Class	GENEPIO:0001013 (spray-wading water)
 Class	GENEPIO:0001014 (pool water)
 Class	GENEPIO:0001015 (obsolete: hot tub)
 Class	GENEPIO:0001016 (obsolete: cafeteria)
 Class	GENEPIO:0001017 (obsolete: bakery)
 Class	GENEPIO:0001018 (obsolete: delicatessen)
 Class	GENEPIO:0001019 (obsolete: food kiosk)
 Class	GENEPIO:0001020 (obsolete: grocery store)
 Class	GENEPIO:0001021 (obsolete: specialty/ethnic store)
 Class	GENEPIO:0001022 (obsolete: market)
 Class	GENEPIO:0001023 (treatment history datum)
 Class	GENEPIO:0001024 (obsolete: take out restaurant)
 Class	GENEPIO:0001025 (treatment start date)
 Class	GENEPIO:0001026 (canoeing / kayaking / boating)
 Class	GENEPIO:0001027 (hiking)
 Class	GENEPIO:0001028 (camping)
 Class	GENEPIO:0001029 (obsolete: social gathering)
 Class	GENEPIO:0001030 (obsolete: party)
 Class	GENEPIO:0001031 (obsolete: wedding)
 Class	GENEPIO:0001032 (obsolete: baby shower)
 Class	GENEPIO:0001033 (obsolete: potluck)
 Class	GENEPIO:0001034 (obsolete: community event)
 Class	GENEPIO:0001035 (obsolete: long term care facility)
 Class	GENEPIO:0001036 (treatment end date)
 Class	GENEPIO:0001037 (food related exposure event)
 Class	GENEPIO:0001038 (infection-specific food detail)
 Class	GENEPIO:0001039 (tuberculosis treatment drug)
 Class	GENEPIO:0001040 (vegetarian)
 Class	GENEPIO:0001041 (organism location history datum)
 Class	GENEPIO:0001042 (food avoidance)
 Class	GENEPIO:0001043 (special diet)
 Class	GENEPIO:0001044 (water related exposure event)
 Class	GENEPIO:0001045 (municipal water)
 Class	GENEPIO:0001046 (immigration year of arrival)
 Class	GENEPIO:0001047 (bottled water)
 Class	GENEPIO:0001048 (infectious disease exposure event)
 Class	GENEPIO:0001049 (human related exposure event)
 Class	GENEPIO:0001050 (animal related exposure event)
 Class	GENEPIO:0001051 (NCBI BioSample isolate (human name or description))
 Class	GENEPIO:0001052 (obsolete: petting zoo)
 Class	GENEPIO:0001053 (agricultural fair)
 Class	GENEPIO:0001054 (isolate passage history datum)
 Class	GENEPIO:0001055 (NCBI pathotype)
 Class	GENEPIO:0001056 (obsolete: pet treat)
 Class	GENEPIO:0001057 (obsolete: pet food (raw))
 Class	GENEPIO:0001058 (human exposure event - travel datum)
 Class	GENEPIO:0001059 (boat / cruise travel)
 Class	GENEPIO:0001060 (train travel)
 Class	GENEPIO:0001061 (bus travel)
 Class	GENEPIO:0001062 (car travel)
 Class	GENEPIO:0001063 (airline travel)
 Class	GENEPIO:0001064 (travel mode)
 Class	GENEPIO:0001065 (travel reason)
 Class	GENEPIO:0001066 (travel for pleasure)
 Class	GENEPIO:0001067 (business activity)
 Class	GENEPIO:0001068 (religious missionairy activity)
 Class	GENEPIO:0001069 (rural backpacking activity)
 Class	GENEPIO:0001070 (visiting relative/friends)
 Class	GENEPIO:0001071 (travel tour)
 Class	GENEPIO:0001072 (unsure of travel reason)
 Class	GENEPIO:0001073 (draft tuberculosis - specimen contextual data standard)
 Class	GENEPIO:0001074 (behavioural risk factor)
 Class	GENEPIO:0001075 (obsolete: E. coli serotype part)
 Class	GENEPIO:0001076 (O antigen)
 Class	GENEPIO:0001077 (H antigen)
 Class	GENEPIO:0001078 (homeless status)
 Class	GENEPIO:0001079 (serovar/serotype common name)
 Class	GENEPIO:0001080 (Salmonella serovar)
 Class	GENEPIO:0001081 (Salmonella serovar name)
 Class	GENEPIO:0001082 (Salmonella antigenic formula)
 Class	GENEPIO:0001083 (drug use status)
 Class	GENEPIO:0001084 (incarceration status)
 Class	GENEPIO:0001085 (HIV status)
 Class	GENEPIO:0001086 (HIV risk status)
 Class	GENEPIO:0001087 (A.I.D.S status)
 Class	GENEPIO:0001088 (drug abuse status)
 Class	GENEPIO:0001089 (injection drug use status)
 Class	GENEPIO:0001090 (recreational drug use status)
 Class	GENEPIO:0001091 (methadone use status)
 Class	GENEPIO:0001092 (substantial alcohol use/abuse status)
 Class	GENEPIO:0001093 (smoking status)
 Class	GENEPIO:0001094 (country of birth)
 Class	GENEPIO:0001095 (sequence number)
 Class	GENEPIO:0001096 (date last seen alive)
 Class	GENEPIO:0001097 (second line or reserve tuberculosis drug)
 Class	GENEPIO:0001098 (tuberculosis infection anatomical site)
 Class	GENEPIO:0001099 (obsolete: NCBI Antibiogram model)
 Class	GENEPIO:0001100 (draft antibiogram drug test model)
 Class	GENEPIO:0001101 (predicted exposure start)
 Class	GENEPIO:0001102 (predicted exposure end)
 Class	GENEPIO:0001103 (map project)
 Class	GENEPIO:0001104 (metagenome project)
 Class	GENEPIO:0001105 (metagenome assembly project)
 Class	GENEPIO:0001106 (other project data type)
 Class	GENEPIO:0001107 (phenotype or genotype project)
 Class	GENEPIO:0001108 (proteome project)
 Class	GENEPIO:0001109 (random survey project)
 Class	GENEPIO:0001110 (targeted locus (loci) project)
 Class	GENEPIO:0001111 (transcriptome or gene expression)
 Class	GENEPIO:0001112 (variation project)
 Class	GENEPIO:0001113 (INSDC country qualifier)
 Class	GENEPIO:0001114 (phenotype project objective)
 Class	GENEPIO:0001115 (genome material from specimen)
 Class	GENEPIO:0001116 (TB lineage 7 - Ethiopia)
 Class	GENEPIO:0001117 (organs or organ parts)
 Class	GENEPIO:0001118 (travel outside Canada)
 Class	GENEPIO:0001119 (travel outside province/territory)
 Class	GENEPIO:0001121 (data field category)
 Class	GENEPIO:0001126 (lifespan history item)
 Class	GENEPIO:0001151 (untreated water)
 Class	GENEPIO:0001154 (treated water - ambient temperature)
 Class	GENEPIO:0001162 (epidemiology investigation data item)
 Class	GENEPIO:0001163 (obsolete distribution event)
 Class	GENEPIO:0001164 (obsolete supply point / event)
 Class	GENEPIO:0001168 (well water - treated)
 Class	GENEPIO:0001169 (Well water - untreated)
 Class	GENEPIO:0001170 (organism datum)
 Class	GENEPIO:0001171 (organism role)
 Class	GENEPIO:0001172 (isolate organism role)
 Class	GENEPIO:0001175 (animal role)
 Class	GENEPIO:0001182 (plant role)
 Class	GENEPIO:0001183 (taxonomic datum)
 Class	GENEPIO:0001186 (infectious disease treatment)
 Class	GENEPIO:0001187 (antimicrobial resistance test drug)
 Class	GENEPIO:0001192 (analytic datum)
 Class	GENEPIO:0001193 (obsolete: type of illness)
 Class	GENEPIO:0001196 (specimen with confirmed presence of disease agent)
 Class	GENEPIO:0001205 (dietary restriction)
 Class	GENEPIO:0001206 (patient type)
 Class	GENEPIO:0001208 (obsolete: mother)
 Class	GENEPIO:0001212 (subject disease outcome)
 Class	GENEPIO:0001217 (treated water - warm/hot)
 Class	GENEPIO:0001219 (jacuzzi water)
 Class	GENEPIO:0001220 (spa water)
 Class	GENEPIO:0001221 (whirlpool water)
 Class	GENEPIO:0001222 (patient as host datum)
 Class	GENEPIO:0001224 (pregnancy history item)
 Class	GENEPIO:0001225 (date of conception)
 Class	GENEPIO:0001226 (lifespan history record)
 Class	GENEPIO:0001227 (obsolete: food cooking method)
 Class	GENEPIO:0001228 (obsolete: food preservation method)
 Class	GENEPIO:0001229 (infectious disease case datum)
 Class	GENEPIO:0001231 (laboratory data)
 Class	GENEPIO:0001236 (specimen record)
 Class	GENEPIO:0001237 (specimen source material category)
 Class	GENEPIO:0001238 (symbiotic role)
 Class	GENEPIO:0001239 (obsolete: NCBI BioSample attribute package)
 Class	GENEPIO:0001240 (obsolete: host sample material)
 Class	GENEPIO:0001244 (food specimen detail)
 Class	GENEPIO:0001245 (patient specimen)
 Class	GENEPIO:0001246 (environmental specimen)
 Class	GENEPIO:0001247 (animal specimen)
 Class	GENEPIO:0001248 (built environment specimen)
 Class	GENEPIO:0001249 (food specimen)
 Class	GENEPIO:0001250 (natural environment specimen)
 Class	GENEPIO:0001251 (exposure event person)
 Class	GENEPIO:0001257 (exposure group statistics record)
 Class	GENEPIO:0001258 (symptom history item)
 Class	GENEPIO:0001259 (health state record)
 Class	GENEPIO:0001260 (obsolete: swab)
 Class	GENEPIO:0001262 (obsolete: fluid - aspirate)
 Class	GENEPIO:0001267 (plant rinse)
 Class	GENEPIO:0001269 (outbreak animal exposure event location)
 Class	GENEPIO:0001270 (animal exposure process)
 Class	GENEPIO:0001271 (animal exposure event by material)
 Class	GENEPIO:0001272 (exposure by human contact)
 Class	GENEPIO:0001273 (obsolete: human exposure activity type)
 Class	GENEPIO:0001274 (outbreak human exposure event location)
 Class	GENEPIO:0001275 (human to human exposure process)
 Class	GENEPIO:0001276 (water exposure by source)
 Class	GENEPIO:0001277 (human water activity)
 Class	GENEPIO:0001286 (health authority)
 Class	GENEPIO:0001287 (symptom record)
 Class	GENEPIO:0001289 (PFGE pattern)
 Class	GENEPIO:0001291 (phage type salmonella (DT))
 Class	GENEPIO:0001292 (phage type e-coli 0157 (PT))
 Class	GENEPIO:0001293 (sequence record)
 Class	GENEPIO:0001297 (outbreak exposure event location)
 Class	GENEPIO:0001302 (lab test history record)
 Class	GENEPIO:0001338 (obsolete: earth surface)
 Class	GENEPIO:0001342 (data specification)
 Class	GENEPIO:0001356 (specimen history item)
 Class	GENEPIO:0001420 (diagnostic test)
 Class	GENEPIO:0001421 (obsolete: sample datum)
 Class	GENEPIO:0001422 (obsolete: laboratory sequencing datum)
 Class	GENEPIO:0001423 (genomic sequencing annotation datum)
 Class	GENEPIO:0001424 (lab test record)
 Class	GENEPIO:0001425 (sequencing assembly datum)
 Class	GENEPIO:0001426 (container record)
 Class	GENEPIO:0001427 (health care personal identifier)
 Class	GENEPIO:0001429 (strain identifier)
 Class	GENEPIO:0001430 (line list object)
 Class	GENEPIO:0001432 (awaiting ontology review)
 Class	GENEPIO:0001433 (obo:GENEPIO:0001433)
 Class	GENEPIO:0001442 (exposure group healthy count)
 Class	GENEPIO:0001443 (exposure group ill count)
 Class	GENEPIO:0001444 (human general activity)
 Class	GENEPIO:0001464 (exposure history record)
 Class	GENEPIO:0001465 (isolate history record)
 Class	GENEPIO:0001466 (outbreak history record)
 Class	GENEPIO:0001467 (pregnancy history record)
 Class	GENEPIO:0001468 (diagnosis record)
 Class	GENEPIO:0001470 (exposure event record)
 Class	GENEPIO:0001471 (hospitalization event record)
 Class	GENEPIO:0001473 (exposure history item)
 Class	GENEPIO:0001486 (hospital admission date)
 Class	GENEPIO:0001487 (exposure event end)
 Class	GENEPIO:0001488 (exposure event start)
 Class	GENEPIO:0001490 (hospitalization history item)
 Class	GENEPIO:0001491 (isolate history item)
 Class	GENEPIO:0001492 (outbreak history item)
 Class	GENEPIO:0001493 (hospital discharge date)
 Class	GENEPIO:0001494 (notification date)
 Class	GENEPIO:0001495 (outbreak date)
 Class	GENEPIO:0001496 (outbreak over)
 Class	GENEPIO:0001497 (test history item)
 Class	GENEPIO:0001499 (lab test result date)
 Class	GENEPIO:0001522 (data enumeration)
 Class	GENEPIO:0001523 (signs and symptoms)
 Class	GENEPIO:0001532 (food specimen datum)
 Class	GENEPIO:0001533 (food specimen specification)
 Class	GENEPIO:0001534 (disease cluster notification agency)
 Class	GENEPIO:0001535 (obsolete: NCBI BioProject ID)
 Class	GENEPIO:0001536 (exposure group unknown health status count)
 Class	GENEPIO:0001537 (person role)
 Class	GENEPIO:0001538 (exposed person role)
 Class	GENEPIO:0001541 (parent-guardian role)
 Class	GENEPIO:0001543 (illness causality)
 Class	GENEPIO:0001548 (pre-existing condition)
 Class	GENEPIO:0001550 (resolving health trend)
 Class	GENEPIO:0001551 (close interpersonal relationship exposure)
 Class	GENEPIO:0001552 (obsolete: household exposure)
 Class	GENEPIO:0001553 (exposure to individual with diarrhea)
 Class	GENEPIO:0001554 (other human exposure)
 Class	GENEPIO:0001555 (sexual contact exposure)
 Class	GENEPIO:0001556 (exposure via diaper changing (human fecal))
 Class	GENEPIO:0001558 (container identifier)
 Class	GENEPIO:0001559 (outbreak identifier)
 Class	GENEPIO:0001560 (reference genome size)
 Class	GENEPIO:0001561 (assembly genome size)
 Class	GENEPIO:0001562 (reference genome identifier)
 Class	GENEPIO:0001563 (genome size delta ratio)
 Class	GENEPIO:0001564 (genome size delta ratio QC threshold)
 Class	GENEPIO:0001565 (contig N50 length QC threshold)
 Class	GENEPIO:0001566 (contig N99 length QC threshold)
 Class	GENEPIO:0001567 (subject organism (host) taxonomic species)
 Class	GENEPIO:0001568 (assembly quality control datum)
 Class	GENEPIO:0001569 (clinical or host-associated pathogen)
 Class	GENEPIO:0001570 (contig N99)
 Class	GENEPIO:0001571 (contig count QC threshold)
 Class	GENEPIO:0001572 (project relevance)
 Class	GENEPIO:0001573 (agricultural project relevance)
 Class	GENEPIO:0001574 (medical knowledge relevance)
 Class	GENEPIO:0001575 (industrial processing relevance)
 Class	GENEPIO:0001576 (evolution modelling relevance)
 Class	GENEPIO:0001577 (environmental project relevance)
 Class	GENEPIO:0001578 (model organism relevance)
 Class	GENEPIO:0001579 (obsolete: NCBI BioProject model)
 Class	GENEPIO:0001580 (obsolete: NCBI SRA model)
 Class	GENEPIO:0001581 (draft NCBI BioSample model - mixed clinical and environmental/food/other)
 Class	GENEPIO:0001582 (monoisolate sample scope)
 Class	GENEPIO:0001583 (multiisolate sample scope)
 Class	GENEPIO:0001584 (multispecies sample scope)
 Class	GENEPIO:0001585 (environment sample scope)
 Class	GENEPIO:0001586 (synthetic sample scope)
 Class	GENEPIO:0001587 (single cell)
 Class	GENEPIO:0001588 (other project objective)
 Class	GENEPIO:0001590 (environmental, food or other pathogen)
 Class	GENEPIO:0001591 (whole genomic data capture)
 Class	GENEPIO:0001592 (raw sequence read objective)
 Class	GENEPIO:0001593 (sequence project objective)
 Class	GENEPIO:0001594 (analysis objective)
 Class	GENEPIO:0001595 (assembly objective)
 Class	GENEPIO:0001596 (sequence annotation objective)
 Class	GENEPIO:0001597 (sequence variation project objective)
 Class	GENEPIO:0001598 (epigenetic markers objective)
 Class	GENEPIO:0001599 (transcript or protein expression objective)
 Class	GENEPIO:0001600 (mapping objective)
 Class	GENEPIO:0001601 (phenotypic observation data from specimen)
 Class	GENEPIO:0001602 (sequencing project method)
 Class	GENEPIO:0001603 (array project method)
 Class	GENEPIO:0001604 (mass spectrometry project method)
 Class	GENEPIO:0001606 (contact specification - person)
 Class	GENEPIO:0001607 (investigation datum)
 Class	GENEPIO:0001608 (commensal role)
 Class	GENEPIO:0001609 (draft isolate details model)
 Class	GENEPIO:0001610 (subject age)
 Class	GENEPIO:0001611 (draft NCBI component model)
 Class	GENEPIO:0001612 (draft IRIDA BioSample model)
 Class	GENEPIO:0001613 (draft GenEpiO epidemiology case record)
 Class	GENEPIO:0001614 (subject description)
 Class	GENEPIO:0001615 (host profile or identifers)
 Class	GENEPIO:0001616 (subject identifier)
 Class	GENEPIO:0001617 (subject disease)
 Class	GENEPIO:0001618 (missing)
 Class	GENEPIO:0001619 (not applicable)
 Class	GENEPIO:0001620 (not collected)
 Class	GENEPIO:0001621 (draft isolate identifier model)
 Class	GENEPIO:0001622 (draft GenEpiO isolate testing model)
 Class	GENEPIO:0001623 (draft NCBI isolate source location model)
 Class	GENEPIO:0001624 (draft GenEpiO isolate environment model)
 Class	GENEPIO:0001625 (subject disease stage)
 Class	GENEPIO:0001626 (environmental datum)
 Class	GENEPIO:0001627 (temperature of sample)
 Class	GENEPIO:0001628 (de-novo assembly)
 Class	GENEPIO:0001629 (obsolete: sample body source)
 Class	GENEPIO:0001630 (contig length QC threshold)
 Class	GENEPIO:0001631 (contig NG50)
 Class	GENEPIO:0001632 (contig length)
 Class	GENEPIO:0001633 (contig L50)
 Class	GENEPIO:0001634 (contig LG99)
 Class	GENEPIO:0001635 (obsolete: specimen from subject datum)
 Class	GENEPIO:0001636 (animal body product)
 Class	GENEPIO:0001637 (obsolete: specimen source material category)
 Class	GENEPIO:0001638 (draft GenEpiO general information record)
 Class	GENEPIO:0001639 (antigenic formula)
 Class	GENEPIO:0001640 (specimen organism taxonomy (species))
 Class	GENEPIO:0001641 (identifier model)
 Class	GENEPIO:0001642 (curator organization name)
 Class	GENEPIO:0001643 (Agriculture and Agri-Food Canada)
 Class	GENEPIO:0001644 (isolate identifier)
 Class	GENEPIO:0001645 (identifier status)
 Class	GENEPIO:0001646 (data protection role)
 Class	GENEPIO:0001647 (original submission)
 Class	GENEPIO:0001648 (NCBI Contributing organization / project)
 Class	GENEPIO:0001649 (food - liquid)
 Class	GENEPIO:0001650 (draft NCBI BioSample identifier model)
 Class	GENEPIO:0001651 (INSDC institution code)
 Class	GENEPIO:0001652 (draft IRIDA epidemiological case model)
 Class	GENEPIO:0001653 (previous (archaic) identifier)
 Class	GENEPIO:0001654 (geographic location datum)
 Class	GENEPIO:0001655 (obsolete: categorical tree specification)
 Class	GENEPIO:0001656 (latitude and longitude coordinate (ISO 6709))
 Class	GENEPIO:0001657 (draft NCBI BioSample geo_loc_name model)
 Class	GENEPIO:0001658 (draft GenEpiO isolate sequencing model)
 Class	GENEPIO:0001659 (case identifier)
 Class	GENEPIO:0001660 (neuter)
 Class	GENEPIO:0001661 (pooled male and female)
 Class	GENEPIO:0001662 (in process)
 Class	GENEPIO:0001663 (swimming / wading)
 Class	GENEPIO:0001664 (infection detail datum)
 Class	GENEPIO:0001665 (antibiotics required)
 Class	GENEPIO:0001666 (INSDC standard)
 Class	GENEPIO:0001667 (outcome of pregnancy associated with illness)
 Class	GENEPIO:0001668 (not provided)
 Class	GENEPIO:0001669 (stable health status)
 Class	GENEPIO:0001670 (induced abortion)
 Class	GENEPIO:0001671 (live birth)
 Class	GENEPIO:0001672 (obsolete: gestation duration (weeks))
